"ENSDARG00000061094"	"si:ch211-272h9.2"
"ENSDARG00000091626"	"BX649278.1"
"ENSDARG00000060049"	"zgc:195075"
"ENSDARG00000087434"	"FP236789.2"
"ENSDARG00000081507"	"5S_rRNA"
"ENSDARG00000086113"	"FP236789.1"
"ENSDARG00000087282"	"CABZ01074944.1"
"ENSDARG00000090396"	"CABZ01074946.1"
"ENSDARG00000027397"	"vangl2"
"ENSDARG00000052482"	"arhgef11"
"ENSDARG00000086815"	"MYADM
"ENSDARG00000092823"	"si:dkeyp-67a8.4"
"ENSDARG00000090099"	"si:dkeyp-67a8.4"
"ENSDARG00000091651"	"BX005156.1"
"ENSDARG00000094276"	"si:ch211-165f21.1"
"ENSDARG00000095133"	"si:ch211-165f21.2"
"ENSDARG00000093987"	"si:ch211-165f21.7"
"ENSDARG00000094374"	"si:dkey-10h3.1"
"ENSDARG00000028912"	"si:dkey-10h3.2"
"ENSDARG00000097204"	"si:dkey-10h3.5"
"ENSDARG00000095068"	"si:dkey-10h3.3"
"ENSDARG00000078724"	"wu:fe11b02"
"ENSDARG00000090893"	"HIST1H4A"
"ENSDARG00000075216"	"zgc:171759"
"ENSDARG00000029838"	"CU459186.1"
"ENSDARG00000079909"	"zgc:171759"
"ENSDARG00000074631"	"HIST4H4
"ENSDARG00000093756"	"wu:fe11b02"
"ENSDARG00000059748"	"si:ch211-113a14.17"
"ENSDARG00000095115"	"zgc:171759"
"ENSDARG00000015607"	"CR388152.1"
"ENSDARG00000090874"	"CR388152.1"
"ENSDARG00000090426"	"CU457819.3"
"ENSDARG00000058564"	"CU457819.1"
"ENSDARG00000087694"	"wu:fe11b02"
"ENSDARG00000091382"	"HIST1H4E"
"ENSDARG00000088259"	"wu:fe11b02"
"ENSDARG00000091313"	"HIST4H4
"ENSDARG00000088028"	"wu:fe11b02"
"ENSDARG00000090521"	"HIST2H4A"
"ENSDARG00000094610"	"wu:fe11b02"
"ENSDARG00000074012"	"FP325123.1"
"ENSDARG00000086076"	"HIST1H4D"
"ENSDARG00000089397"	"wu:fe11b02"
"ENSDARG00000086666"	"HIST1H4K"
"ENSDARG00000091265"	"wu:fe11b02"
"ENSDARG00000058479"	"zgc:110425"
"ENSDARG00000074818"	"FP340499.1"
"ENSDARG00000090815"	"KCNJ10A"
"ENSDARG00000089325"	"5S_rRNA"
"ENSDARG00000086398"	"5S_rRNA"
"ENSDARG00000078619"	"pnp5a"
"ENSDARG00000045200"	"dusp19b"
"ENSDARG00000045199"	"CAPN1
"ENSDARG00000084145"	"5S_rRNA"
"ENSDARG00000018049"	"sf3b2"
"ENSDARG00000090684"	"CABZ01058041.1"
"ENSDARG00000075485"	"klc2"
"ENSDARG00000019800"	"PACS1
"ENSDARG00000092003"	"ccs"
"ENSDARG00000001285"	"rbm14b"
"ENSDARG00000001431"	"actn3b"
"ENSDARG00000073728"	"CABZ01088238.1"
"ENSDARG00000070100"	"BX511131.1"
"ENSDARG00000084430"	"5S_rRNA"
"ENSDARG00000087926"	"5S_rRNA"
"ENSDARG00000070107"	"six7"
"ENSDARG00000077583"	"b3gnt1"
"ENSDARG00000025391"	"pfdn2"
"ENSDARG00000070116"	"nit1"
"ENSDARG00000003269"	"clcn3"
"ENSDARG00000062752"	"MFAP3L"
"ENSDARG00000011410"	"AADAT"
"ENSDARG00000062749"	"ino80b"
"ENSDARG00000077639"	"INTU"
"ENSDARG00000060176"	"trmt10b"
"ENSDARG00000070065"	"BX004993.1"
"ENSDARG00000079487"	"BX004828.2"
"ENSDARG00000036893"	"f13a1b"
"ENSDARG00000077954"	"BX004828.1"
"ENSDARG00000039100"	"zgc:172244"
"ENSDARG00000090757"	"CR382283.1"
"ENSDARG00000039099"	"zgc:113413"
"ENSDARG00000087318"	"zgc:174688"
"ENSDARG00000076388"	"zgc:194686"
"ENSDARG00000092521"	"CR382283.2"
"ENSDARG00000092352"	"wu:fa92h10"
"ENSDARG00000076530"	"zgc:172109"
"ENSDARG00000074983"	"zgc:172290"
"ENSDARG00000076958"	"zgc:172260"
"ENSDARG00000056166"	"CR759816.1"
"ENSDARG00000044584"	"tex261"
"ENSDARG00000084534"	"5S_rRNA"
"ENSDARG00000017504"	"CR457462.1"
"ENSDARG00000058702"	"vax2"
"ENSDARG00000076239"	"C7H20orf27
"ENSDARG00000089500"	"AL935128.1"
"ENSDARG00000090857"	"PCSK6"
"ENSDARG00000024651"	"snrpa1"
"ENSDARG00000070097"	"vimp"
"ENSDARG00000079027"	"chsy1"
"ENSDARG00000084060"	"5S_rRNA"
"ENSDARG00000089483"	"LRRK2
"ENSDARG00000007398"	"LRRK2
"ENSDARG00000076933"	"aldh1a3"
"ENSDARG00000006494"	"asb7"
"ENSDARG00000086879"	"LINS"
"ENSDARG00000078541"	"CABZ01067609.1"
"ENSDARG00000087488"	"CABZ01086828.1"
"ENSDARG00000086729"	"CABZ01072252.1"
"ENSDARG00000075555"	"ADAMTS17"
"ENSDARG00000085044"	"5S_rRNA"
"ENSDARG00000069291"	"CU184872.1"
"ENSDARG00000058449"	"arnt2"
"ENSDARG00000033811"	"zfand6"
"ENSDARG00000042465"	"MTHFS"
"ENSDARG00000039743"	"fah"
"ENSDARG00000058452"	"abhd17c"
"ENSDARG00000084586"	"5S_rRNA"
"ENSDARG00000085122"	"5S_rRNA"
"ENSDARG00000039881"	"BX897684.1"
"ENSDARG00000084161"	"5S_rRNA"
"ENSDARG00000063030"	"mesdc2"
"ENSDARG00000079017"	"MESDC1"
"ENSDARG00000089816"	"CEMIP
"ENSDARG00000039884"	"CABZ01068274.1"
"ENSDARG00000076117"	"STARD5"
"ENSDARG00000089395"	"5S_rRNA"
"ENSDARG00000090696"	"CABZ01068272.1"
"ENSDARG00000052723"	"TMC3"
"ENSDARG00000058369"	"mex3b"
"ENSDARG00000079672"	"EFTUD1"
"ENSDARG00000082308"	"5S_rRNA"
"ENSDARG00000006474"	"fam154b"
"ENSDARG00000027903"	"ADAMTSL3"
"ENSDARG00000084684"	"5S_rRNA"
"ENSDARG00000017927"	"cx36.7"
"ENSDARG00000013360"	"sh3gl3a"
"ENSDARG00000015551"	"fth1a"
"ENSDARG00000045999"	"saa"
"ENSDARG00000011201"	"rplp2l"
"ENSDARG00000058336"	"SLC25A22
"ENSDARG00000078060"	"syt7b"
"ENSDARG00000084136"	"5S_rRNA"
"ENSDARG00000062971"	"sdhaf2"
"ENSDARG00000058349"	"polr2l"
"ENSDARG00000083198"	"CU929274.1"
"ENSDARG00000062956"	"dagla"
"ENSDARG00000080109"	"5S_rRNA"
"ENSDARG00000036870"	"arih1l"
"ENSDARG00000016774"	"PLEKHO2"
"ENSDARG00000074485"	"ankdd1a"
"ENSDARG00000007760"	"spg21"
"ENSDARG00000086455"	"CLPX
"ENSDARG00000088786"	"SPG21
"ENSDARG00000038976"	"pdcd7"
"ENSDARG00000029063"	"clpxa"
"ENSDARG00000091843"	"CABZ01068819.1"
"ENSDARG00000076449"	"KBTBD13
"ENSDARG00000002701"	"rasl12"
"ENSDARG00000025797"	"abhd2a"
"ENSDARG00000012504"	"rlbp1a"
"ENSDARG00000058257"	"slc39a1"
"ENSDARG00000078845"	"STRC"
"ENSDARG00000062909"	"furina"
"ENSDARG00000085584"	"5S_rRNA"
"ENSDARG00000011449"	"fes"
"ENSDARG00000083794"	"5S_rRNA"
"ENSDARG00000003203"	"rhcga"
"ENSDARG00000082766"	"dre-mir-9-6"
"ENSDARG00000033099"	"kif7"
"ENSDARG00000083129"	"dre-mir-7a-2"
"ENSDARG00000075129"	"mrps11"
"ENSDARG00000016307"	"mrpl46"
"ENSDARG00000086214"	"ntrk3b"
"ENSDARG00000084132"	"BX005423.2"
"ENSDARG00000088737"	"BX005423.3"
"ENSDARG00000086325"	"5S_rRNA"
"ENSDARG00000051709"	"BX005423.1"
"ENSDARG00000079358"	"AKAP13
"ENSDARG00000023868"	"AKAP13
"ENSDARG00000023822"	"zgc:73349"
"ENSDARG00000057427"	"sv2ba"
"ENSDARG00000030347"	"mespba"
"ENSDARG00000017078"	"mespaa"
"ENSDARG00000089706"	"BX005410.2"
"ENSDARG00000036809"	"BX005410.1"
"ENSDARG00000034434"	"igf1rb"
"ENSDARG00000057477"	"lrrc28"
"ENSDARG00000057527"	"MEF2A
"ENSDARG00000073970"	"mctp2b"
"ENSDARG00000070006"	"rcn1"
"ENSDARG00000045936"	"pax6b"
"ENSDARG00000008852"	"elp4"
"ENSDARG00000045935"	"immp1l"
